index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
233,VA-2013,2913680,3102524,3359746,1937080,1495816,1588458,1668068,915208,959928,927778,898660,393460,485098,455614,422154,171254,24900,28984,23254,8058,12796,15978,11928,4062,265804,339142,277214,108572,134576,159838,127236,47552,5296,7102,4062,1186,2766,3824,1968,542,248120,112516,60918,19764,125062,53654,28654,9344
234,VA-2014,2903772,3112644,3330054,1996886,1490592,1595746,1653882,943656,950316,945556,897660,411606,480108,466634,421910,179222,24518,29100,23720,8554,12498,16060,12156,4370,272550,346678,288560,116488,137936,163494,132828,50862,5332,7128,4198,1292,2824,3812,2054,592,255248,118562,62976,21258,128796,56984,29636,10044
235,WA-2010,2870074,2952732,3216184,1670056,1474484,1512890,1607446,802938,167416,162484,133034,38864,86888,89596,74664,19890,89724,74098,60570,20358,46520,38210,29862,9736,261128,335606,268082,110198,131638,157642,117280,45888,33420,30710,18470,4754,16908,15590,9232,2302,307318,150548,78962,22704,155826,72434,37676,10398
236,WA-2011,2854306,2976802,3222862,1738768,1466944,1526626,1612152,836804,171210,169228,136264,41690,88928,93392,76732,21278,92362,75348,61306,21654,47836,38924,30252,10316,264366,351166,278666,118080,133392,165984,122226,49204,33584,31780,19162,5254,16986,16142,9600,2530,312414,156348,81820,24282,158660,75522,38960,11188
237,WA-2012,2831668,2992562,3218094,1809630,1454838,1536316,1611814,870608,174098,176568,140122,44776,90064,97506,78778,22818,94876,76350,61980,22936,48986,39512,30598,10908,267610,366210,289054,125522,135238,173860,127326,52246,33676,32850,20068,5694,17028,16664,10044,2792,316248,162430,84514,25970,160680,78674,40192,11938
238,WA-2013,2814364,3016860,3195982,1881808,1444918,1551578,1602370,905462,175972,182370,142794,47592,90714,100930,80472,24194,97458,77662,62230,24242,50098,40314,30784,11408,271886,379378,299380,133058,137508,181296,132312,55474,33964,34422,20960,6296,17242,17554,10456,3108,320542,169306,86928,27778,163002,82170,41318,12734
239,WA-2014,2806596,3063978,3162058,1962766,1441110,1580550,1586702,943580,178716,188368,144648,50692,91782,104638,81540,25884,99828,79278,62596,25702,51216,41270,31022,11992,280566,399034,310770,141986,142150,191922,137648,59294,34532,35700,22098,6950,17566,17996,10950,3392,326002,177436,89754,29744,166180,86830,42732,13628
240,WV-2010,854070,849740,1022056,634312,437336,427888,504992,299198,37322,37474,35374,14452,19680,22286,19224,6798,1742,2088,2814,1202,942,1192,1506,610,6350,9510,6276,3072,3160,4606,2720,1400,296,360,212,84,154,196,100,36,29242,10026,7538,3910,14876,4956,3726,1838
241,WV-2011,845536,849406,1013268,649146,433504,427690,500406,307208,37088,38152,35324,15148,19632,22712,19220,7246,1774,2158,2826,1284,932,1216,1532,652,6632,10418,6538,3342,3224,5038,2854,1490,330,390,236,94,170,208,114,42,30324,10580,7642,4130,15382,5218,3766,1964
242,WV-2012,836456,848296,1003858,665704,429398,426856,496128,315982,37142,38426,35032,15792,19694,22864,19040,7588,1796,2182,2872,1394,918,1238,1570,716,6712,10726,6798,3594,3204,5224,2928,1598,308,378,254,98,152,222,130,46,31358,11030,7678,4308,15940,5476,3804,2048
243,WV-2013,827800,844842,990694,681384,424954,425606,489558,324174,37084,38936,34762,16610,19586,23208,18952,7980,1780,2302,2808,1494,902,1358,1474,764,6670,11028,6974,3756,3152,5414,3066,1602,296,378,250,104,146,220,118,50,32360,11640,7724,4502,16532,5764,3822,2180
244,WV-2014,820648,840132,974526,697396,421160,423096,481816,331966,36992,39442,34034,17334,19518,23400,18494,8416,1806,2304,2832,1540,906,1334,1488,782,6692,11452,7134,3916,3202,5676,3134,1658,278,364,258,106,136,214,130,50,33280,12098,7680,4686,17058,5978,3856,2264
245,WI-2010,2611932,2503082,2999732,1551960,1338914,1278168,1506208,738490,290466,217124,166490,53750,148318,107018,80168,23334,45150,35424,29658,9582,23060,18306,14630,4426,103456,97350,47434,15200,51450,48186,22418,6560,1764,1834,1118,306,986,1010,520,158,111356,40416,19976,6000,55488,19234,9810,2820
246,WI-2011,2593660,2480818,2993580,1599002,1328148,1267572,1502618,763714,289390,220316,168366,56668,148036,108024,81116,24654,45970,35788,30070,10156,23470,18414,14852,4676,104088,102708,49620,16226,51764,50968,23422,7022,1806,1888,1136,340,972,1062,524,176,114622,42086,20746,6322,57330,20042,10172,3002
247,WI-2012,2574556,2465726,2976688,1652124,1317580,1260932,1493458,792234,287114,223116,170196,59568,147150,109142,81840,26012,46510,36142,30480,10658,23804,18544,15124,4916,104798,108174,51892,17366,51976,53726,24430,7566,1856,1966,1162,390,1020,1110,546,194,117696,43774,21398,6692,58992,20806,10422,3204
248,WI-2013,2549192,2469850,2947198,1711012,1303564,1263182,1478088,822784,284274,226608,171406,62104,145844,111260,82336,27152,46884,36740,30806,11150,24096,18844,15328,5186,107446,114306,54756,18546,53266,56634,25806,8064,1918,1960,1210,408,1054,1126,570,196,120282,45994,22124,7086,60502,21948,10662,3474
249,WI-2014,2523572,2479834,2905662,1771620,1290478,1268500,1456990,854120,282816,230510,171936,64770,145110,113238,82808,28272,47074,37432,30890,11740,24174,19206,15392,5438,109304,120018,57280,19926,54270,59484,26888,8724,2052,1988,1268,454,1106,1148,602,220,122896,48492,22796,7540,62048,23160,11000,3700
250,WY-2010,291190,280854,300572,155486,150206,147274,153048,77352,3686,3544,2306,696,1982,2340,1404,380,11592,8440,6448,2244,5880,4414,3204,1056,2404,3766,2358,782,1160,1760,900,280,366,362,240,66,194,218,116,22,10442,4920,2992,1206,5316,2410,1454,638
251,WY-2011,289188,282208,298014,161472,148980,147758,151846,80496,3728,3844,2518,758,2016,2634,1526,418,11916,8452,6594,2364,6078,4454,3298,1118,2426,3852,2422,838,1170,1800,928,292,330,352,228,76,180,220,110,26,10696,5098,3062,1282,5412,2496,1500,680
252,WY-2012,289708,287146,296644,167846,149204,150410,151590,83696,4398,5648,4060,1088,2396,3728,2360,596,12136,8638,6770,2486,6242,4494,3428,1168,2670,4214,2552,906,1288,2038,1016,324,370,374,250,82,210,226,122,26,11038,5320,3186,1338,5694,2620,1538,698
253,WY-2013,290792,290774,292794,174400,149936,152344,149316,87242,4904,6196,4516,1404,2652,3900,2614,746,12426,8844,6792,2538,6306,4582,3480,1170,2782,4264,2592,1038,1324,2090,1018,400,376,372,242,98,214,210,136,30,11438,5594,3216,1438,5874,2762,1558,754
254,WY-2014,289840,292610,285706,181384,149230,153354,145806,90716,4750,5762,3666,1360,2588,3670,2226,734,12580,9036,6828,2678,6446,4624,3508,1244,2826,4208,2528,1078,1356,2070,1010,388,366,418,238,98,202,226,134,32,11836,5760,3216,1496,6066,2812,1566,822
