index,state_year,AA,year
369,VA-2006,12.674166666666666,2006
370,VA-2007,12.005833333333333,2007
371,VA-2008,11.153333333333334,2008
372,VA-2009,10.434166666666666,2009
373,VA-2010,9.946666666666667,2010
374,VA-2011,8.949166666666667,2011
375,VA-2012,9.2825,2012
376,VA-2013,9.180833333333334,2013
377,VA-2014,9.465,2014
378,WA-2006,16.790833333333335,2006
379,WA-2007,16.570833333333333,2007
380,WA-2008,16.037499999999998,2008
381,WA-2009,15.945,2009
382,WA-2010,15.335,2010
383,WA-2011,14.8275,2011
384,WA-2012,15.07,2012
385,WA-2013,13.899166666666666,2013
386,WA-2014,13.731666666666667,2014
387,WV-2006,17.51,2006
388,WV-2007,17.528333333333332,2007
389,WV-2008,17.103333333333335,2008
390,WV-2009,18.985,2009
391,WV-2010,18.514166666666664,2010
392,WV-2011,18.95,2011
393,WV-2012,20.5625,2012
394,WV-2013,17.9325,2013
395,WV-2014,20.267500000000002,2014
396,WI-2006,13.402500000000002,2006
397,WI-2007,14.0525,2007
398,WI-2008,13.459166666666667,2008
399,WI-2009,12.498333333333333,2009
400,WI-2010,12.244166666666667,2010
401,WI-2011,12.185,2011
402,WI-2012,14.798333333333332,2012
403,WI-2013,13.513333333333334,2013
404,WI-2014,14.405833333333334,2014
